Category,Type,Dish Name,Price,Description
Appetizers,Veg,Gobi Manchurian,260," "
Appetizers,Veg,Crispy Veg,260," "
Appetizers,Veg,Crispy Corn,280," "
Appetizers,Veg,Paneer Manchuria,280," "
Appetizers,Veg,Paneer 65,280," "
Appetizers,Veg,Mushroom Manchuria,260," "
Appetizers,Veg,Ginger Mushroom,260," "
Appetizers,Veg,Salt & Pepper Mushroom,260," "
Appetizers,Veg,Salt & Pepper Babycorn,260," "
Appetizers,Veg,Honey Chilli Potato,260," "
Appetizers,Veg,Garlic Mushroom,280," "
Appetizers,Veg,Garlic Babycorn,260," "
Appetizers,Non-Veg,Schezwan Fish,330," "
Appetizers,Non-Veg,Garlic Fish,330," "
Appetizers,Non-Veg,Ginger Fish,330," "
Appetizers,Non-Veg,Pepper Fish,330," "
Appetizers,Non-Veg,Hongkong Fish,330," "
Appetizers,Non-Veg,Salt & Pepper Fish,330," "
Appetizers,Non-Veg,Schezwan Prawn,350," "
Appetizers,Non-Veg,Prawn Manchuria,350," "
Appetizers,Non-Veg,Chilli Prawn,350," "
Appetizers,Non-Veg,Prawn 65,350," "
Appetizers,Non-Veg,Prawn Salt & Pepper,350," "
Appetizers,Non-Veg,Garlic Prawn,350," "
Appetizers,Non-Veg,Chilli Loose Prawns,350," "
Appetizers,Non-Veg,Pepper Prawns,350," "
Appetizers,Non-Veg,Golden Fried Prawns,350," "
Appetizers,Non-Veg,Hongkong Prawns,350," "
Appetizers,Non-Veg,Squid Calamari,350," "
Appetizers,Non-Veg,222 Spl Bell Pepper Squid,350," "
Appetizers,Veg,Veg Manchuria,260,
Beverages,Veg,Tea,40," "
Beverages,Veg,Black Tea,30," "
Beverages,Veg,Lemon Tea,70," "
Beverages,Veg,Masala Tea,40," "
Beverages,Veg,Green Tea,120," "
Beverages,Veg,Earl Grey Tea,100," "
Beverages,Veg,Hibiscus Tea,120," "
Beverages,Veg,Peach Oolong Tea,100," "
Beverages,Veg,Jasmine Tea,120," "
Beverages,Veg,Hot Milk,50," "
Beverages,Veg,Fresh Lime Soda,100," "
Beverages,Veg,Mango Lassi,140," "
Beverages,Veg,Masala Chai,80,
Biryani & Pulao,Veg,Veg Biryani,250," "
Biryani & Pulao,Veg,Paneer Biryani,300," "
Biryani & Pulao,Veg,Mushroom Biryani,280," "
Biryani & Pulao,Veg,Mixed Veg Biryani,280," "
Biryani & Pulao,Veg,Paneer Tikka Biryani,300," "
Biryani & Pulao,Veg,Cashew Biryani,280," "
Biryani & Pulao,Veg,Veg Pulao,250," "
Biryani & Pulao,Veg,Kashmiri Pulao,300," "
Biryani & Pulao,Veg,Moti Pulao,280," "
Biryani & Pulao,Non-Veg,Chicken Dum Biryani,350," "
Biryani & Pulao,Non-Veg,Chicken Fry Piece Biryani,380," "
Biryani & Pulao,Non-Veg,222 Spl Biryani,450," "
